FH_EXPIRY_DT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
28-Mar-2024,CE,85.0,0.0,36.95,36.95,8000,0.0,24000,36.95,32.95,15-Mar-2024,0,0.0,0.0,0.0,0.038356164383561646,1.9355226243843446,0.854374273573333,0.005121164788714559,-0.37485157070292,0.052713761313130714
28-Mar-2024,CE,90.0,24000.0,26.0,26.0,8000,29.0,440000,31.0,27.95,15-Mar-2024,32000,3750000.0,29.0,26.0,0.038356164383561646,0.0,1.0,0.0,0.0,0.0
28-Mar-2024,CE,95.0,0.0,29.8,29.8,8000,0.0,32000,29.8,23.0,15-Mar-2024,0,0.0,0.0,0.0,0.038356164383561646,1.9116467977706515,0.7783914885252325,0.0067445732881697175,-0.47830050466399626,0.06856762937969063
28-Mar-2024,CE,100.0,8000.0,17.95,17.95,8000,18.65,512000,21.95,18.0,15-Mar-2024,152000,17761600.0,18.65,15.75,0.038356164383561646,0.0,1.0,0.0,0.0,0.0
28-Mar-2024,CE,105.0,-48000.0,11.15,11.15,8000,11.8,216000,16.5,13.15,15-Mar-2024,64000,7466000.0,12.3,11.15,0.038356164383561646,0.0,1.0,0.0,0.0,0.0
28-Mar-2024,CE,110.0,-2768000.0,9.15,9.35,8000,11.8,2272000,12.1,9.15,15-Mar-2024,7832000,928094000.0,12.15,7.05,0.038356164383561646,0.4407330748421958,0.8047153853069928,0.02715074092580962,-0.11424077211808448,0.06363767904108882
28-Mar-2024,CE,115.0,2384000.0,5.35,5.45,8000,6.95,4184000,7.95,5.35,15-Mar-2024,18920000,2271620000.0,8.0,4.0,0.038356164383561646,0.40160106548205626,0.6439518427686548,0.04024046299420752,-0.13485335563144052,0.08594385462616322
28-Mar-2024,CE,120.0,1264000.0,2.8,2.8,8000,4.15,12976000,4.5,2.8,15-Mar-2024,48312000,5934712800.0,4.85,2.1,0.038356164383561646,0.39933461001497117,0.4311334639131962,0.0426735533170165,-0.13713515259476441,0.09062598952255543
28-Mar-2024,CE,125.0,192000.0,1.45,1.5,8000,2.4,13016000,2.45,1.45,15-Mar-2024,28344000,3585218800.0,2.6,1.15,0.038356164383561646,0.4230500213662196,0.2572160850013225,0.03306307845521317,-0.11712985099205753,0.0743861380543814
28-Mar-2024,CE,130.0,936000.0,0.85,0.8,8000,1.05,31416000,1.4,0.85,15-Mar-2024,33608000,4398360800.0,1.55,0.7,0.038356164383561646,0.46820255021412716,0.156634381916882,0.022222498936921322,-0.09541718333090791,0.05533293052764653
28-Mar-2024,CE,135.0,424000.0,0.55,0.55,8000,0.75,14952000,0.85,0.55,15-Mar-2024,19160000,2597878800.0,0.95,0.45,0.038356164383561646,0.5177431918245972,0.10117972976788941,0.014825035231430932,-0.07734658194994755,0.04081944858633751
28-Mar-2024,CE,140.0,-1016000.0,0.4,0.4,8000,0.55,19032000,0.6,0.4,15-Mar-2024,17008000,2387954000.0,0.65,0.35,0.038356164383561646,0.572746161530685,0.07127096858874424,0.01030712246714379,-0.06553237159567614,0.0313947208902802
28-Mar-2024,CE,145.0,-1128000.0,0.25,0.2,8000,0.3,5824000,0.35,0.25,15-Mar-2024,4672000,678680400.0,0.35,0.2,0.038356164383561646,0.6015723366240501,0.04566135143015601,0.0069131863670558015,-0.048360163458873805,0.022116842469307906
