FH_EXPIRY_DT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
25-Apr-2024,CE,105.0,-16000.0,22.9,22.9,8000,22.0,192000,20.7,23.4,19-Apr-2024,16000,2039200.0,22.9,22.0,0.019178082191780823,0.0,1.0,0.0,0.0,0.0
25-Apr-2024,CE,110.0,-8000.0,18.5,18.5,8000,17.1,592000,19.2,18.5,19-Apr-2024,184000,23397600.0,18.5,17.1,0.019178082191780823,0.6026241651788325,0.9709443296322935,0.006190703730734087,-0.06808385055327384,0.011768103691623469
25-Apr-2024,CE,115.0,-8000.0,13.5,13.5,8000,12.5,552000,16.8,13.5,19-Apr-2024,40000,5120800.0,13.85,12.05,0.019178082191780823,0.45064254609623,0.9638342392366763,0.0099170828217372,-0.06347802322176817,0.014097303680878769
25-Apr-2024,CE,120.0,-128000.0,8.8,8.85,8000,6.85,1720000,10.15,8.8,19-Apr-2024,784000,100752400.0,9.45,6.85,0.019178082191780823,0.4129713458662633,0.8871136641210435,0.026116244069116,-0.11761151740315556,0.03402127307196426
25-Apr-2024,CE,125.0,584000.0,4.35,4.4,8000,4.0,2936000,5.7,4.35,19-Apr-2024,7920000,1023437200.0,5.25,2.9,0.019178082191780823,0.32316198294652965,0.7329073923160387,0.05729529713986883,-0.14955531594522914,0.05840622854502576
25-Apr-2024,CE,130.0,2256000.0,1.55,1.55,8000,2.6,12568000,2.6,1.55,19-Apr-2024,56280000,7413698800.0,2.6,1.15,0.019178082191780823,0.3171076683694899,0.39725425146299426,0.06847186402200652,-0.1632579595830264,0.0684918376211603
25-Apr-2024,CE,135.0,-2032000.0,0.5,0.45,8000,0.85,15664000,1.1,0.5,19-Apr-2024,36312000,4925391600.0,0.85,0.45,0.019178082191780823,0.3507117602096103,0.1566959910844566,0.03853073547308749,-0.11000374416609462,0.042626291552605534
25-Apr-2024,CE,140.0,-3344000.0,0.25,0.2,8000,0.4,21816000,0.5,0.25,19-Apr-2024,34976000,4907394800.0,0.4,0.2,0.019178082191780823,0.4260884481968273,0.07541553911530714,0.018784355222029002,-0.07838888979747552,0.025247360170372702
25-Apr-2024,CE,145.0,-1704000.0,0.15,0.15,8000,0.15,8368000,0.3,0.15,19-Apr-2024,13384000,1942707200.0,0.25,0.1,0.019178082191780823,0.499846379820709,0.04252576355619789,0.010200842215871416,-0.058296880847231856,0.01608394221817154
25-Apr-2024,CE,150.0,-1144000.0,0.1,0.1,8000,0.15,8776000,0.2,0.1,19-Apr-2024,6080000,912651600.0,0.15,0.05,0.019178082191780823,0.5694624642675262,0.02665458920817571,0.0060969649949956855,-0.04509427677609123,0.01095213347191255
25-Apr-2024,CE,155.0,-560000.0,0.1,0.1,8000,0.1,5904000,0.15,0.1,19-Apr-2024,3552000,550818400.0,0.1,0.05,0.019178082191780823,0.6674679423234167,0.02324979584521765,0.0046384995797632885,-0.04703556887964011,0.009766250433899826
