FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
28-Jul-2016,55,CE,0.0,0.0,0.0,34.3,0.0,34.3,76.25,0,0,0,0,7000,19-Jul-2016,0.0273972602739726,0.0,1.0,0.0,0.0,0.0
28-Jul-2016,60,CE,0.0,0.0,0.0,29.55,0.0,29.55,71.25,0,0,0,0,7000,19-Jul-2016,0.0273972602739726,0.0,1.0,0.0,0.0,0.0
28-Jul-2016,65,CE,0.0,0.0,0.0,25.0,0.0,25.0,66.3,0,0,0,0,7000,19-Jul-2016,0.0273972602739726,0.0,1.0,0.0,0.0,0.0
28-Jul-2016,70,CE,0.0,0.0,0.0,22.4,22.35,22.4,61.3,0,0,28000,0,7000,19-Jul-2016,0.0273972602739726,0.0,1.0,0.0,0.0,0.0
28-Jul-2016,75,CE,0.0,0.0,0.0,52.0,52.0,52.0,56.3,0,0,14000,0,7000,19-Jul-2016,0.0273972602739726,0.0,1.0,0.0,0.0,0.0
28-Jul-2016,80,CE,0.0,0.0,0.0,46.7,46.7,46.7,51.3,0,0,63000,0,7000,19-Jul-2016,0.0273972602739726,0.0,1.0,0.0,0.0,0.0
28-Jul-2016,85,CE,0.0,0.0,0.0,37.0,37.0,37.0,46.3,0,0,35000,0,7000,19-Jul-2016,0.0273972602739726,0.0,1.0,0.0,0.0,0.0
28-Jul-2016,90,CE,0.0,0.0,0.0,43.5,43.5,43.5,41.3,0,0,112000,0,7000,19-Jul-2016,0.0273972602739726,1.9881199693479825,0.9055337126739939,0.003900016844058272,-0.37558797762348317,0.03653867509761704
28-Jul-2016,95,CE,35.3,38.1,35.2,35.9,35.9,37.0,35.9,63000,8262800,203000,-56000,7000,19-Jul-2016,0.0273972602739726,0.0,1.0,0.0,0.0,0.0
28-Jul-2016,100,CE,29.5,30.3,29.5,30.3,30.3,34.0,30.3,14000,1818600,1232000,0,7000,19-Jul-2016,0.0273972602739726,0.0,1.0,0.0,0.0,0.0
28-Jul-2016,105,CE,0.0,0.0,0.0,27.4,27.4,27.4,26.4,0,0,490000,0,7000,19-Jul-2016,0.0273972602739726,1.087678276601487,0.9089583108120645,0.006936637726060667,-0.20845070666963333,0.035554386872637254
28-Jul-2016,110,CE,23.3,23.3,20.75,20.75,20.75,22.85,20.75,35000,4600050,2184000,-14000,7000,19-Jul-2016,0.0273972602739726,0.0,1.0,0.0,0.0,0.0
28-Jul-2016,115,CE,15.25,17.0,15.0,16.1,16.1,17.75,16.1,84000,10993850,1239000,-21000,7000,19-Jul-2016,0.0273972602739726,0.0,1.0,0.0,0.0,0.0
28-Jul-2016,120,CE,11.95,14.8,10.85,12.2,12.0,13.8,12.2,1512000,200710300,9576000,210000,7000,19-Jul-2016,0.0273972602739726,0.528143522167736,0.8596801289266671,0.01944371268549488,-0.14431827301259112,0.04839214555759001
28-Jul-2016,125,CE,8.25,10.65,7.2,8.15,8.05,9.45,8.15,630000,84145250,1589000,-98000,7000,19-Jul-2016,0.0273972602739726,0.5014435010891233,0.7389002770240711,0.029863050136607054,-0.19151625533868943,0.0705667142012597
28-Jul-2016,130,CE,5.85,7.35,4.2,4.95,4.9,6.25,4.95,8407000,1137225950,3633000,280000,7000,19-Jul-2016,0.0273972602739726,0.49151660116936047,0.5671562615301752,0.036858518859979636,-0.2212244418367353,0.08537285312855439
28-Jul-2016,135,CE,3.75,4.6,2.35,2.85,2.7,3.95,2.85,16905000,2336707450,4368000,1169000,7000,19-Jul-2016,0.0273972602739726,0.504698312575574,0.38786099187889944,0.03496480731619428,-0.2177431719201246,0.08315851347635292
28-Jul-2016,140,CE,2.3,2.65,1.25,1.5,1.45,2.35,1.5,17668000,2504871950,5194000,763000,7000,19-Jul-2016,0.0273972602739726,0.5118124598366943,0.23914394702019653,0.027925657256477908,-0.17727004131709664,0.06735316107480505
28-Jul-2016,145,CE,1.05,1.45,0.65,0.75,0.7,1.3,0.75,6678000,974428350,2961000,-28000,7000,19-Jul-2016,0.0273972602739726,0.5220983002667886,0.13578210964727627,0.01923278191862938,-0.12633059954901152,0.047319278256772616
28-Jul-2016,150,CE,0.65,0.75,0.35,0.4,0.4,0.7,0.4,4851000,730102100,2912000,511000,7000,19-Jul-2016,0.0273972602739726,0.5463111505289034,0.07755253878568559,0.012244070406019528,-0.08770947072951024,0.03152169833021798
28-Jul-2016,155,CE,0.3,0.4,0.2,0.2,0.2,0.4,0.2,777000,120618050,623000,350000,7000,19-Jul-2016,0.0273972602739726,0.5622546469169536,0.04171302505914707,0.007304579544471262,-0.05527595104985281,0.01935405637042142
