FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP
24-Dec-2014,140,CE,0,0,0,200.4,0,200.4,82.65,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,160,CE,0,0,0,170,170,170,62.65,0,0,2500,0,1250,23-Dec-2014
24-Dec-2014,175,CE,0,0,0,51.25,0,51.25,47.65,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,180,CE,0,0,0,203,203,203,42.65,0,0,2500,0,1250,23-Dec-2014
24-Dec-2014,185,CE,0,0,0,41.3,0,41.3,37.65,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,190,CE,0,0,0,36.3,0,36.3,32.65,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,195,CE,0,0,0,31.3,0,31.3,27.65,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,200,CE,25,25,22.75,22.75,22.75,24.45,22.75,10000,2239250,100000,-1250,1250,23-Dec-2014
24-Dec-2014,205,CE,0,0,0,21.45,0,21.45,17.65,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,210,CE,0,0,0,16.75,0,16.75,12.65,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,215,CE,0,0,0,12.4,0,12.4,7.75,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,220,CE,5.9,7.4,3.2,3.75,3.2,5.15,3.75,203750,45871312.5,417500,-8750,1250,23-Dec-2014
24-Dec-2014,225,CE,3.15,3.65,.85,1,.9,2.35,1,257500,58318437.5,63750,11250,1250,23-Dec-2014
24-Dec-2014,230,CE,1.5,1.7,.15,.15,.15,.9,.15,76250,17584937.5,47500,-6250,1250,23-Dec-2014
24-Dec-2014,235,CE,.4,.4,.05,.05,.05,.15,.05,31250,7352750,12500,12500,1250,23-Dec-2014
24-Dec-2014,240,CE,.15,.15,.05,.05,.05,.15,.05,67500,16205062.5,465000,-63750,1250,23-Dec-2014
24-Dec-2014,245,CE,0,0,0,.4,0,.4,0,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,250,CE,0,0,0,.2,0,.2,0,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,255,CE,0,0,0,.1,0,.1,0,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,260,CE,0,0,0,7.45,0,7.45,0,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,265,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,270,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,23-Dec-2014
24-Dec-2014,275,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,23-Dec-2014
