FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
24-Jun-2021,25.0,CE,0.0,0.0,0.0,11.15,0.0,11.15,41.55,0,0.0,0,0.0,16000,24-Jun-2021,0.0027397260273972603,0.0,1.0,0.0,0.0,0.0
24-Jun-2021,25.0,CE,0.0,0.0,0.0,11.15,0.0,11.15,41.55,0,0.0,0,0.0,16000,24-Jun-2021,0.0027397260273972603,0.0,1.0,0.0,0.0,0.0
24-Jun-2021,30.0,CE,0.0,0.0,0.0,7.25,0.0,7.25,41.55,0,0.0,0,0.0,16000,24-Jun-2021,0.0027397260273972603,0.0,1.0,0.0,0.0,0.0
24-Jun-2021,30.0,CE,0.0,0.0,0.0,7.25,0.0,7.25,41.55,0,0.0,0,0.0,16000,24-Jun-2021,0.0027397260273972603,0.0,1.0,0.0,0.0,0.0
24-Jun-2021,35.0,CE,7.2,7.2,6.5,6.5,6.5,7.3,41.55,80000,3341600.0,544000,-16000.0,16000,24-Jun-2021,0.0027397260273972603,0.0,1.0,0.0,0.0,0.0
24-Jun-2021,35.0,CE,7.2,7.2,6.5,6.5,6.5,7.3,41.55,80000,3341600.0,544000,-16000.0,16000,24-Jun-2021,0.0027397260273972603,0.0,1.0,0.0,0.0,0.0
24-Jun-2021,40.0,CE,2.45,2.55,1.45,1.55,1.75,2.35,41.55,2912000,122101600.0,1680000,-1824000.0,16000,24-Jun-2021,0.0027397260273972603,0.0,1.0,0.0,0.0,0.0
24-Jun-2021,40.0,CE,2.45,2.55,1.45,1.55,1.75,2.35,41.55,2912000,122101600.0,1680000,-1824000.0,16000,24-Jun-2021,0.0027397260273972603,0.0,1.0,0.0,0.0,0.0
24-Jun-2021,45.0,CE,0.05,0.15,0.05,0.05,0.05,0.15,41.55,6080000,273985600.0,15216000,-1632000.0,16000,24-Jun-2021,0.0027397260273972603,0.9505453750108123,0.057626832988309666,0.055826899426635546,-0.11967658084510127,0.002509952791226398
24-Jun-2021,45.0,CE,0.05,0.15,0.05,0.05,0.05,0.15,41.55,6080000,273985600.0,15216000,-1632000.0,16000,24-Jun-2021,0.0027397260273972603,0.9505453750108123,0.057626832988309666,0.055826899426635546,-0.11967658084510127,0.002509952791226398
24-Jun-2021,50.0,CE,0.05,0.05,0.05,0.05,0.05,0.05,41.55,384000,19219200.0,17536000,16000.0,16000,24-Jun-2021,0.0027397260273972603,1.8661868618339097,0.03254150190343243,0.01793106342170267,-0.14789874131464792,0.0015827428710098118
24-Jun-2021,50.0,CE,0.05,0.05,0.05,0.05,0.05,0.05,41.55,384000,19219200.0,17536000,16000.0,16000,24-Jun-2021,0.0027397260273972603,1.8661868618339097,0.03254150190343243,0.01793106342170267,-0.14789874131464792,0.0015827428710098118
