FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
26-Mar-2020,25,CE,0.0,0.0,0.0,20.15,0.0,20.15,11.3,0,0,0,0,8300,24-Mar-2020,0.00821917808219178,0.0,1.0,0.0,0.0,0.0
26-Mar-2020,30,CE,6.5,7.5,6.5,7.0,7.5,9.75,7.0,16600,614200,116200,-16600,8300,24-Mar-2020,0.00821917808219178,0.0,1.0,0.0,0.0,0.0
26-Mar-2020,35,CE,1.5,2.0,0.55,1.7,1.7,1.5,1.6,116200,4184860,1137100,-116200,8300,24-Mar-2020,0.00821917808219178,0.6911451081338391,0.7327771981516231,0.14461587816546936,-0.1287869157833571,0.010824973900870598
26-Mar-2020,40,CE,0.25,0.8,0.25,0.65,0.7,0.9,0.65,116200,4723945,1767900,-116200,8300,24-Mar-2020,0.00821917808219178,1.427334744165689,0.2477558525874855,0.06732722541277328,-0.24896135939698416,0.010407782197124746
26-Mar-2020,45,CE,0.25,0.5,0.15,0.2,0.2,0.45,0.2,116200,5263445,1676600,-116200,8300,24-Mar-2020,0.00821917808219178,1.6391436093866396,0.08563562081070308,0.02900815895469813,-0.14116207568332262,0.005149663029504814
26-Mar-2020,50,CE,0.15,0.15,0.1,0.15,0.15,0.25,0.05,66400,3329130,3411300,-66400,8300,24-Mar-2020,0.00821917808219178,0.0,1.0,0.0,0.0,0.0
26-Mar-2020,55,CE,0.05,0.1,0.05,0.05,0.05,0.1,0.05,249000,13710770,1186900,-240700,8300,24-Mar-2020,0.00821917808219178,0.0,1.0,0.0,0.0,0.0
26-Mar-2020,60,CE,0.05,0.1,0.05,0.1,0.1,0.1,0.1,107900,6483130,821700,-107900,8300,24-Mar-2020,0.00821917808219178,0.0,1.0,0.0,0.0,0.0
26-Mar-2020,65,CE,0.05,0.05,0.05,0.05,0.05,0.1,0.05,24900,1619745,298800,-24900,8300,24-Mar-2020,0.00821917808219178,0.0,1.0,0.0,0.0,0.0
26-Mar-2020,70,CE,0.0,0.0,0.0,0.1,0.1,0.1,0.05,0,0,174300,0,8300,24-Mar-2020,0.00821917808219178,0.0,1.0,0.0,0.0,0.0
26-Mar-2020,75,CE,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0,0,74700,0,8300,24-Mar-2020,0.00821917808219178,0.0,1.0,0.0,0.0,0.0
26-Mar-2020,80,CE,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0,0,8300,0,8300,24-Mar-2020,0.00821917808219178,0.0,1.0,0.0,0.0,0.0
