FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
28-Apr-2016,45,CE,0.0,0.0,0.0,47.3,0.0,47.3,45.15,0,0,0,0,4000,27-Apr-2016,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Apr-2016,50,CE,0.0,0.0,0.0,38.75,38.75,38.75,40.15,0,0,4000,0,4000,27-Apr-2016,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Apr-2016,55,CE,0.0,0.0,0.0,37.6,0.0,37.6,35.15,0,0,0,0,4000,27-Apr-2016,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Apr-2016,60,CE,0.0,0.0,0.0,25.85,25.85,25.85,30.15,0,0,4000,0,4000,27-Apr-2016,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Apr-2016,65,CE,0.0,0.0,0.0,28.35,0.0,28.35,25.15,0,0,0,0,4000,27-Apr-2016,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Apr-2016,70,CE,21.1,21.3,21.1,21.3,21.3,20.15,21.3,76000,6930000,44000,-36000,4000,27-Apr-2016,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Apr-2016,75,CE,17.3,17.3,15.55,15.55,15.55,14.5,15.55,28000,2554000,52000,-16000,4000,27-Apr-2016,0.005479452054794521,1.806012875356225,0.925264557492911,0.011720376292101082,-0.4362663485798215,0.009415624072847753
28-Apr-2016,80,CE,10.65,10.65,10.65,10.65,10.65,9.75,10.65,4000,362600,176000,0,4000,27-Apr-2016,0.005479452054794521,1.3830965849758663,0.8879470413504709,0.02065598043594502,-0.45081836914309154,0.01270822910588846
28-Apr-2016,85,CE,6.25,7.15,5.05,5.3,5.05,5.5,5.3,360000,32753800,532000,-224000,4000,27-Apr-2016,0.005479452054794521,0.6021338761529317,0.9093824875856532,0.04064246188453109,-0.17646510269276783,0.010885785730222731
28-Apr-2016,90,CE,1.3,2.75,0.7,0.95,0.75,1.5,0.95,2544000,233061200,1636000,-360000,4000,27-Apr-2016,0.005479452054794521,0.3323709170513566,0.5282217542932944,0.17951684044336666,-0.22820252187927467,0.026540855923764914
28-Apr-2016,95,CE,0.25,0.5,0.1,0.1,0.1,0.3,0.1,1248000,118898600,1356000,0,4000,27-Apr-2016,0.005479452054794521,0.4794277606625037,0.07143321797827895,0.0426500569560767,-0.11005817104795294,0.00909556132482664
28-Apr-2016,100,CE,0.05,0.05,0.05,0.05,0.05,0.05,0.05,396000,39619800,1160000,124000,4000,27-Apr-2016,0.005479452054794521,0.7222357545102245,0.027613099445399858,0.013184656540372267,-0.07688174920508949,0.00423579095465499
28-Apr-2016,105,CE,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0,0,96000,0,4000,27-Apr-2016,0.005479452054794521,0.995528146234355,0.02090338726355356,0.007570421016966781,-0.0837374502653354,0.0033524344057695348
28-Apr-2016,110,CE,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0,0,136000,0,4000,27-Apr-2016,0.005479452054794521,1.2453502029670336,0.01720978991462159,0.005129381453089295,-0.08871233203163256,0.0028414708572021743
28-Apr-2016,115,CE,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0,0,4000,0,4000,27-Apr-2016,0.005479452054794521,1.834997393522223,0.04216650227918363,0.007348912638979508,-0.27577408504412176,0.005998535723167628
28-Apr-2016,120,CE,0.05,0.05,0.05,0.05,0.05,0.1,0.05,24000,2881200,48000,24000,4000,27-Apr-2016,0.005479452054794521,1.69344279923912,0.01318246468606742,0.002999799510338393,-0.09585355435072677,0.0022596931795764853
28-Apr-2016,125,CE,0.05,0.05,0.05,0.05,0.05,1.6,0.05,4000,500200,4000,4000,4000,27-Apr-2016,0.005479452054794521,1.8971281648081233,0.011948560117989889,0.0024593290764762985,-0.09860084113708274,0.0020753914787248885
28-Apr-2016,130,CE,0.05,0.05,0.05,0.05,0.05,1.2,0.05,4000,520200,4000,4000,4000,27-Apr-2016,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Apr-2016,135,CE,0.0,0.0,0.0,0.9,0.0,0.9,0.0,0,0,0,0,4000,27-Apr-2016,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Apr-2016,140,CE,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4000,560200,16000,4000,4000,27-Apr-2016,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
