FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
31-May-2018,40,CE,0.0,0.0,0.0,75.5,0.0,75.5,48.75,0,0,0,0,4000,28-May-2018,0.010958904109589041,0.0,1.0,0.0,0.0,0.0
31-May-2018,50,CE,0.0,0.0,0.0,52.5,52.5,52.5,38.75,0,0,4000,0,4000,28-May-2018,0.010958904109589041,0.0,1.0,0.0,0.0,0.0
31-May-2018,55,CE,0.0,0.0,0.0,41.15,0.0,41.15,33.75,0,0,0,0,4000,28-May-2018,0.010958904109589041,0.0,1.0,0.0,0.0,0.0
31-May-2018,60,CE,0.0,0.0,0.0,19.2,19.2,19.2,28.75,0,0,4000,0,4000,28-May-2018,0.010958904109589041,0.0,1.0,0.0,0.0,0.0
31-May-2018,65,CE,0.0,0.0,0.0,13.5,13.5,13.5,23.75,0,0,8000,0,4000,28-May-2018,0.010958904109589041,0.0,1.0,0.0,0.0,0.0
31-May-2018,70,CE,18.0,18.0,18.0,18.0,18.0,13.8,18.0,4000,352000,60000,0,4000,28-May-2018,0.010958904109589041,0.0,1.0,0.0,0.0,0.0
31-May-2018,75,CE,9.6,14.7,9.6,14.4,14.45,8.9,14.4,432000,37286600,576000,-260000,4000,28-May-2018,0.010958904109589041,1.3466240927156987,0.8971118124348578,0.014329350232765412,-0.2907687021983706,0.016637468432265313
31-May-2018,80,CE,5.3,9.9,4.75,8.9,8.4,4.3,8.9,3304000,287304000,1256000,-1152000,4000,28-May-2018,0.010958904109589041,0.6402885319903053,0.9433421816924935,0.019154062755079526,-0.09692410538056762,0.010574284622253925
31-May-2018,85,CE,1.45,5.2,1.4,4.15,3.9,1.3,4.15,12388000,1091120000,2208000,-2212000,4000,28-May-2018,0.010958904109589041,0.4488304330372662,0.8274993363648742,0.061288328574612964,-0.14444932097091137,0.023717802091204315
31-May-2018,90,CE,0.5,2.0,0.45,1.35,1.15,0.45,1.35,20396000,1859790000,4012000,84000,4000,28-May-2018,0.010958904109589041,0.5111568641463655,0.40793397898685524,0.08180387184867038,-0.236085863467876,0.03605308424590434
31-May-2018,95,CE,0.2,0.7,0.2,0.5,0.45,0.25,0.5,8628000,823711600,2880000,352000,4000,28-May-2018,0.010958904109589041,0.6407787520963334,0.16364820248130152,0.04149806112357273,-0.18594440124482384,0.02292716069342926
31-May-2018,100,CE,0.1,0.3,0.1,0.25,0.2,0.1,0.25,3764000,377166600,5712000,456000,4000,28-May-2018,0.010958904109589041,0.7827587020479317,0.07863054240112767,0.020188344942584976,-0.1344209815976437,0.013625203190021095
