FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
29-Feb-2024,70.0,CE,0.0,0.0,0.0,11.75,0.0,11.75,44.75,0,0.0,0,0.0,8000,31-Jan-2024,0.0821917808219178,0.0,1.0,0.0,0.0,0.0
29-Feb-2024,75.0,CE,0.0,0.0,0.0,29.5,29.5,29.5,39.8,0,0.0,24000,0.0,8000,31-Jan-2024,0.0821917808219178,0.0,1.0,0.0,0.0,0.0
29-Feb-2024,80.0,CE,0.0,0.0,0.0,25.15,26.0,25.15,34.85,0,0.0,496000,0.0,8000,31-Jan-2024,0.0821917808219178,0.0,1.0,0.0,0.0,0.0
29-Feb-2024,85.0,CE,24.6,24.6,24.6,24.6,24.6,18.9,29.85,8000,876800.0,1216000,0.0,8000,31-Jan-2024,0.0821917808219178,0.0,1.0,0.0,0.0,0.0
29-Feb-2024,90.0,CE,21.0,25.4,21.0,25.15,25.4,20.05,25.15,216000,24598800.0,1640000,-128000.0,8000,31-Jan-2024,0.0821917808219178,0.5168582240593919,0.9578536195123583,0.005303621087434816,-0.039279282976194825,0.029486576948191373
29-Feb-2024,95.0,CE,16.0,20.15,15.9,20.1,20.1,15.85,20.1,336000,37992000.0,1128000,-184000.0,8000,31-Jan-2024,0.0821917808219178,0.39819369811880356,0.9580104030035069,0.006863402591021979,-0.034221742492558264,0.02939776378968395
29-Feb-2024,100.0,CE,11.5,15.8,11.05,15.7,15.65,11.45,15.7,7544000,857870000.0,8344000,-1368000.0,8000,31-Jan-2024,0.0821917808219178,0.42387579480582677,0.8865527276480984,0.013827628404263475,-0.05863162822637968,0.06304733828216155
29-Feb-2024,105.0,CE,7.7,11.5,7.6,11.3,11.25,7.9,11.3,12632000,1447308000.0,4280000,-3296000.0,8000,31-Jan-2024,0.0821917808219178,0.38368226293381086,0.8103820476202668,0.02153797134914921,-0.07022514613599885,0.08889082909867507
29-Feb-2024,110.0,CE,5.3,8.0,5.1,7.7,7.75,5.2,7.7,48656000,5666339200.0,10560000,-7064000.0,8000,31-Jan-2024,0.0821917808219178,0.37776595522473433,0.6778974612104264,0.02894228879776044,-0.08552947188641793,0.11760780055942076
29-Feb-2024,115.0,CE,3.35,5.2,3.2,5.0,5.1,3.3,5.0,54184000,6464659600.0,10160000,-344000.0,8000,31-Jan-2024,0.0821917808219178,0.38358158976373885,0.520839572316505,0.03166788213814128,-0.09250680475060935,0.13066438053285878
29-Feb-2024,120.0,CE,2.0,3.3,1.95,3.2,3.2,2.0,3.2,38336000,4706328800.0,8376000,5088000.0,8000,31-Jan-2024,0.0821917808219178,0.39926790269966467,0.37554900132190383,0.028970641555465127,-0.08933363709935303,0.12442365375605335
29-Feb-2024,125.0,CE,2.05,2.05,1.85,2.0,1.95,0.7,2.0,704000,89382400.0,536000,536000.0,8000,31-Jan-2024,0.0821917808219178,0.41364915476694697,0.25902888777615785,0.023862869210176947,-0.07774324667639809,0.10617817132641964
29-Feb-2024,130.0,CE,1.2,1.2,1.2,1.2,1.2,0.45,1.2,128000,16793600.0,128000,128000.0,8000,31-Jan-2024,0.0821917808219178,0.42341513547529563,0.1706079907762985,0.018264132312970787,-0.06171419857773112,0.08318516113635063
