Date&Time,Open,High,Low,Close,Volume
2012-01-02,156.98,156.98,151.31,153.25,1423159
2012-01-03,155.0,161.2,154.38,160.42,1187424
2012-01-04,160.8,161.49,158.06,159.72,1419344
2012-01-05,160.8,167.1,160.01,165.36,2077364
2012-01-06,164.96,164.96,160.6,162.46,1883454
2012-01-07,163.0,164.34,162.45,162.96,93189
2012-01-09,163.3,166.94,160.3,164.94,1102714
2012-01-10,166.4,173.62,165.75,171.96,2177179
2012-01-11,173.26,177.6,172.1,176.09,1625569
2012-01-12,175.98,181.8,174.97,180.57,2505624
2012-01-13,182.4,183.01,178.0,178.97,2292214
2012-01-16,178.76,178.76,173.0,177.19,2074364
2012-01-17,179.4,184.31,178.07,183.52,1506694
2012-01-18,183.4,183.98,179.01,180.39,825109
2012-01-19,181.8,183.36,181.17,182.35,1071669
2012-01-20,183.0,191.0,183.0,189.71,1662444
2012-01-23,189.6,194.4,188.32,192.22,1569674
2012-01-24,193.76,202.89,190.4,200.52,3961169
2012-01-25,201.0,203.4,197.4,200.19,2210869
2012-01-27,199.71,200.38,192.82,194.23,1419769
2012-01-30,193.0,195.5,190.45,191.05,1510024
2012-01-31,194.0,196.45,184.0,188.23,10491404
2012-02-01,188.0,192.94,186.72,191.16,3862509
2012-02-02,193.98,194.74,184.0,190.56,4045304
2012-02-03,189.35,193.27,188.0,192.56,2196334
2012-02-06,193.0,196.3,192.87,194.91,2151239
2012-02-07,196.0,198.8,195.02,196.56,1823009
2012-02-08,197.02,199.42,195.01,196.14,2082204
2012-02-09,196.0,200.8,195.63,200.11,1398514
2012-02-10,199.6,204.8,199.23,201.53,3017919
2012-02-13,202.0,202.0,196.25,198.95,2343564
2012-02-14,198.4,204.29,198.02,203.15,2831564
2012-02-15,204.8,211.56,204.0,210.06,3401819
2012-02-16,209.04,212.76,207.4,211.33,1998069
2012-02-17,212.0,217.86,212.0,215.3,2697194
2012-02-21,215.54,218.21,213.2,214.35,1294669
2012-02-22,216.8,218.01,203.66,205.36,2349734
2012-02-23,203.0,207.3,198.22,200.55,5007369
2012-02-24,201.6,204.0,192.2,193.04,3546479
2012-02-27,192.4,193.67,177.64,181.78,2833264
2012-02-28,184.8,193.98,182.45,190.26,3359014
2012-02-29,191.6,196.37,189.19,190.66,2111589
2012-03-01,191.18,191.95,186.25,189.73,1544974
2012-03-02,192.0,194.8,187.31,190.74,1968304
2012-03-03,191.8,192.78,188.4,191.45,260729
2012-03-05,192.5,192.5,185.04,188.21,2524964
2012-03-06,188.2,193.56,184.12,186.66,2156384
2012-03-07,186.65,188.0,183.6,186.46,1138559
2012-03-09,188.8,192.0,188.41,191.54,1121264
2012-03-12,196.58,197.59,191.91,194.21,1752389
2012-03-13,196.36,197.33,194.42,195.26,1597034
2012-03-14,197.41,206.94,196.25,205.31,3922719
2012-03-15,205.6,207.0,198.0,199.34,2585459
2012-03-16,201.14,204.0,191.11,192.69,2724384
2012-03-19,193.2,194.0,185.1,185.49,2227909
2012-03-20,186.94,192.8,184.68,191.62,2396554
2012-03-21,190.63,195.46,189.62,195.0,1526214
2012-03-22,196.3,197.55,187.22,189.05,2118009
2012-03-23,189.6,192.11,186.41,190.29,1387374
2012-03-26,190.4,190.45,181.2,182.27,1710664
2012-03-27,185.38,187.8,180.44,185.06,2742514
2012-03-28,185.6,185.6,181.21,182.46,1558879
2012-03-29,181.0,183.67,179.69,181.91,2087624
2012-03-30,184.4,187.12,182.85,185.0,2163919
2012-04-02,186.36,188.38,184.4,185.8,1457604
2012-04-03,185.8,188.0,185.12,186.24,1836724
2012-04-04,184.4,186.78,184.4,185.86,1056959
2012-04-09,184.6,185.2,181.04,182.25,1624209
2012-04-10,182.65,183.51,180.0,181.38,1526604
2012-04-11,181.0,182.4,177.95,179.99,2697969
2012-04-12,181.34,184.7,180.02,182.51,2609454
2012-04-13,184.0,186.18,179.2,180.5,1709609
2012-04-16,179.0,185.37,178.78,184.75,1592794
2012-04-17,186.0,188.2,181.31,185.78,3152014
2012-04-18,187.4,187.53,183.63,184.84,955389
2012-04-19,185.25,186.0,183.2,184.34,840534
